Ingredients,A,B,C,D
Alfalfa hay,15,15,15,15
Alfalfa silage,12,12,12,12
Barley silage,58,43,28,13
Rolled barley,-,15,30,45
Gluten meal,6,6,6,6
Fish meal,1.03,1.03,1.03,1.03
Canola meal,0.98,0.98,0.98,0.98
Dairy premix1,0.58,0.58,0.58,0.58
Megalac2,1.79,1.79,1.79,1.79
Limestone,0.58,0.58,0.58,0.58
Biofos3,0.4,0.4,0.4,0.4
Magnesium oxide ,0.35,0.35,0.35,0.35
Sodium bicarbonate ,0.76,0.76,0.76,0.76
Vitamin E4,0.09,0.09,0.09,0.09
Vitamin D35,0.17,0.17,0.17,0.17
Molasses,0.35,0.35,0.35,0.35
Hydrogenated tallow,1.87,1.87,1.87,1.87
Nutrient composition,,,,
"Metabolizable energy, Mcal/kg DM",2.45,2.42,2.4,2.39
"Crude protein, % of DM ",16.2,16.4,16.5,16.7
"Neutral detergent fiber, % of DM ",32.8,30.2,27.6,25
"Acid detergent fiber, % of DM ",21.8,19.4,17,14.6
"Non-fiber-carbohydrate, % of DM ",35.4,38.8,42.1,45.5
"Calcium, % of DM ",1.3,1.3,1.2,1.2
"Phosphorous, % of DM ",0.4,0.4,0.5,0.5
