Cow,Diet,Period,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6, Day 7,Day 8,Day 9, Day 10
2374,A,1,34.0,35.0,32.0,28.8,32.0,34.2,35.0,31.0,30.9,33.0
2377,A,1,38.0,39.0,40.0,41.8,43.0,41.0,27.0,38.0,40.0,41.0
2410,A,2,28.9,38.0,39.0,34.0,36.0,38.0,39.0,38.0,37.0,23.0
2113,A,2,28.9,40.0,40.0,40.0,39.0,26.9,39.0,36.0,35.0,28.0
2407,A,3,27.0,28.8,28.9,27.8,27.8,30.6,27.0,28.0,26.6,26.3
2409,A,3,30.0,33.8,33.8,30.8,32.9,34.0,34.0,34.0,34.3,34.7
2367,A,4,29.9,23.6,28.4,25.4,28.7,29.7,29.1,31.0,26.0,32.0
2376,A,4,30.4,26.4,28.8,25.1,31.3,29.6,31.9,31.2,27.0,33.0
2367,B,1,32.0,33.0,31.0,28.8,31.0,33.0,34.0,36.0,35.3,40.0
2376,B,1,32.0,31.0,32.0,32.4,35.0,35.0,36.0,34.0,36.0,36.0
2374,B,2,30.7,29.6,28.0,32.0,34.0,32.0,31.0,34.0,36.0,38.0
2377,B,2,36.9,38.1,37.0,39.0,38.0,37.0,34.0,35.0,36.0,37.0
2410,B,3,29.0,34.0,34.2,32.6,34.0,36.0,32.0,36.0,36.0,32.0
2113,B,3,37.0,36.0,37.5,35.0,36.0,36.0,36.0,36.0,35.0,36.0
2407,B,4,27.9,24.8,27.2,26.6,24.3,26.9,27.1,24.4,25.0,29.0
2409,B,4,26.7,30.3,30.0,32.8,33.9,30.3,32.0,31.0,27.0,33.0
2407,C,1,26.0,26.0,26.0,24.0,26.0,26.0,25.0,25.0,26.0,27.0
2409,C,1,28.0,28.0,28.0,28.0,30.0,30.0,31.0,26.0,27.0,29.0
2367,C,2,15.9,27.0,26.0,28.0,30.0,31.0,29.0,31.0,22.0,29.0
2376,C,2,28.8,29.0,28.0,29.0,29.0,28.0,26.0,23.0,22.0,32.0
2374,C,3,25.0,24.7,24.5,25.0,21.5,20.2,23.0,13.0,8.0,17.0
2377,C,3,26.0,25.0,25.7,27.0,25.9,27.4,29.7,28.0,29.0,29.0
2410,C,4,32.1,27.3,25.6,27.7,29.3,27.1,29.0,26.8,29.0,31.0
2113,C,4,32.4,32.1,34.0,34.8,36.0,35.7,30.5,35.7,35.0,36.0
2410,D,1,19.0,26.0,24.0,27.4,29.0,29.0,31.0,31.0,32.0,34.0
2113,D,1,25.0,23.0,25.0,25.6,30.0,24.0,32.0,22.0,21.1,25.0
2407,D,2,23.9,24.0,26.0,28.0,26.0,29.0,18.0,24.0,20.0,27.0
2409,D,2,27.1,24.0,26.0,27.0,28.0,27.5,28.0,27.0,30.0,30.0
2367,D,3,27.0,25.4,27.1,26.0,29.0,28.8,27.3,26.0,22.4,26.7
2376,D,3,27.0,23.5,24.8,27.0,27.0,27.6,30.9,29.0,25.5,30.0
2374,D,4,16.5,15.3,17.8,17.2,16.6,17.9,18.3,17.7,20.0,23.0
2377,D,4,25.8,25.2,24.3,24.3,22.3,23.6,24.9,22.2,23.0,25.0
